SPECIES_NR,LETTERCODE,SYNONYM,TurbovegCzechiaSlovakia,Kaplan,ExpertSystem,nonvascular
14321,*CONC*C,FALSE,x Conygeron huelsenii,x Conyzigeron huelsenii,x Conyzigeron huelsenii,0
14323,*DACD*A,FALSE,x Dactylodenia gracilis,x Dactylogymnadenia gracilis,x Dactylogymnadenia gracilis,0
14324,*DACD*A,TRUE,x Dactylodenia st.-quintinii,x Dactylogymnadenia gracilis,x Dactylogymnadenia gracilis,0
14322,*DACD*D,FALSE,x Dactylodenia comigera,x Dactylogymnadenia comigera,x Dactylogymnadenia comigera,0
14325,*DATD*D,FALSE,x Dactyloglossum erdingeri,x Dactyloglossum erdingeri,x Dactyloglossum erdingeri,0
14327,*FESF*E,FALSE,x Festulolium loliaceum,x Festulolium loliaceum,x Festulolium loliaceum,0
14326,*FESF*F,FALSE,x Festulolium braunii,x Festulolium braunii,x Festulolium braunii,0
14328,*GYMG*G,FALSE,x Gymnanacamptis anacamptis,x Gymnanacamptis anacamptis,x Gymnanacamptis anacamptis,0
14329,*ORCO*O,FALSE,x Orchidactyla boudieri,x Dactylocamptis boudieri,x Dactylocamptis boudieri,0
14330,*PSEP*P,FALSE,x Pseudadenia schweinfurthii,x Pseudadenia schweinfurthii,x Pseudadenia schweinfurthii,0
14331,*PSUP*P,FALSE,x Pseudorhiza nieschalkii,x Pseudorhiza nieschalkii,x Pseudorhiza nieschalkii,0
90000,AAAAAAA,FALSE,AAAAAAA,AAAAAAA,AAAAAAA,0
1,ABIEALB,FALSE,Abies alba,Abies alba,Abies alba,0
13013,ABIECEP,FALSE,Abies cephalonica,Abies cephalonica,Abies cephalonica,0
13014,ABIECON,FALSE,Abies concolor,Abies concolor,Abies concolor,0
12251,ABIEGRA,FALSE,Abies grandis,Abies grandis,Abies grandis,0
13015,ABIEHOM,FALSE,Abies homolepis,Abies homolepis,Abies homolepis,0
13016,ABIENOR,FALSE,Abies nordmanniana,Abies nordmanniana,Abies nordmanniana,0
2,ABIE-SP,FALSE,,Abies species,Abies species,0
24,ABUT-SP,FALSE,Abutilon species,Abutilon species,Abutilon species,0
23,ABUTTHE,FALSE,Abutilon theophrasti,Abutilon theophrasti,Abutilon theophrasti,0
26,ACAL-SP,FALSE,Acalypha species,Acalypha species,Acalypha species,0
25,ACALVIR,FALSE,Acalypha virginica,Acalypha virginica,Acalypha virginica,0
13017,ACANBAL,FALSE,Acanthus balcanicus,Acanthus hungaricus,Acanthus hungaricus,0
90,ACEAANT,FALSE,Aceras anthropophorum,Aceras anthropophorum,Aceras anthropophorum,0
91,ACEA-SP,FALSE,Aceras species,Aceras species,Aceras species,0
80,ACERCAM,FALSE,Acer campestre,Acer campestre,Acer campestre,0
13018,ACERGIN,FALSE,Acer ginnala,Acer ginnala,Acer ginnala,0
13019,ACERJAP,FALSE,Acer japonicum,Acer japonicum,Acer japonicum,0
81,ACERMON,FALSE,Acer monspessulanum,Acer monspessulanum,Acer monspessulanum,0
82,ACERNEG,FALSE,Acer negundo,Acer negundo,Acer negundo,0
13020,ACERPAL,FALSE,Acer palmatum,Acer palmatum,Acer palmatum,0
83,ACERPLA,FALSE,Acer platanoides,Acer platanoides,Acer platanoides,0
84,ACERPSE,FALSE,Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus,0
85,ACERPSU,FALSE,"Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""","Acer pseudoplatanus mod. ""prostrata""",0
86,ACERSAC,FALSE,Acer saccharinum,Acer saccharinum,Acer saccharinum,0
87,ACERSAH,FALSE,Acer saccharum,Acer saccharum,Acer saccharum,0
89,ACER-SP,FALSE,Acer species,Acer species,Acer species,0
88,ACERTAT,FALSE,Acer tataricum,Acer tataricum,Acer tataricum,0
94,ACHI#AT,FALSE,Achillea atrata agg.,Achillea atrata agg.,Achillea atrata agg.,0
106,ACHI#MI,FALSE,Achillea millefolium agg.,Achillea millefolium agg.,Achillea millefolium agg.,0
13038,ACHI*IN,FALSE,Achillea x incognita (A. millefolium x pannonica),Achillea x incognita,Achillea x incognita,0
92,ACHIAGE,FALSE,Achillea ageratum,Achillea ageratum,Achillea ageratum,0
93,ACHIASP,FALSE,Achillea aspleniifolia,Achillea asplenifolia,Achillea asplenifolia,0
95,ACHIATR,FALSE,Achillea atrata,Achillea atrata,Achillea atrata,0
13035,ACHIC*P,FALSE,Achillea collina x pratensis,Achillea collina x pratensis,Achillea collina x pratensis,0
13036,ACHICHR,FALSE,Achillea chrysocoma,Achillea chrysocoma,Achillea chrysocoma,0
96,ACHICLA,FALSE,Achillea clavennae,Achillea clavennae,Achillea clavennae,0
97,ACHICLU,FALSE,Achillea clusiana,Achillea clusiana,Achillea clusiana,0
13034,ACHICLY,FALSE,Achillea clypeolata,Achillea clypeolata,Achillea clypeolata,0
98,ACHICOL,FALSE,Achillea collina,Achillea collina,Achillea millefolium agg.,0
99,ACHICRI,FALSE,Achillea crithmifolia,Achillea crithmifolia,Achillea crithmifolia,0
101,ACHID-D,FALSE,Achillea distans ssp. distans,Achillea distans ssp. distans,Achillea distans ssp. distans,0
100,ACHIDIS,FALSE,Achillea distans,Achillea styriaca,Achillea styriaca,0
102,ACHID-S,FALSE,Achillea distans ssp. styriaca,Achillea styriaca,Achillea styriaca,0
103,ACHIFIL,FALSE,Achillea filipendulina,Achillea filipendulina,Achillea filipendulina,0
104,ACHIGRA,FALSE,Achillea grandifolia,Achillea grandifolia,Achillea grandifolia,0
13037,ACHIM*P,FALSE,Achillea millefolium x pratensis,Achillea millefolium subsp. millefolium x pratensis,Achillea millefolium subsp. millefolium x pratensis,0
105,ACHIMAC,FALSE,Achillea macrophylla,Achillea macrophylla,Achillea macrophylla,0
107,ACHIMIL,FALSE,Achillea millefolium,Achillea millefolium,Achillea millefolium agg.,0
108,ACHIM-M,FALSE,Achillea millefolium ssp. millefolium,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,0
110,ACHIMOS,FALSE,Achillea moschata,Achillea moschata,Achillea moschata,0
109,ACHIM-S,FALSE,Achillea millefolium ssp. sudetica,Achillea millefolium subsp. sudetica,Achillea millefolium subsp. sudetica,0
112,ACHIN-N,FALSE,Achillea nobilis ssp. neilreichii,Achillea nobilis,Achillea nobilis,0
111,ACHINOB,FALSE,Achillea nobilis,Achillea nobilis,Achillea nobilis,0
113,ACHIOCH,FALSE,Achillea ochroleuca,Achillea ochroleuca,Achillea ochroleuca,0
114,ACHIOXY,FALSE,Achillea oxyloba,Achillea oxyloba,Achillea oxyloba,0
115,ACHIPAN,FALSE,Achillea pannonica,Achillea pannonica,Achillea pannonica,0
116,ACHIPRA,FALSE,Achillea pratensis,Achillea pratensis,Achillea millefolium agg.,0
117,ACHIPTA,FALSE,Achillea ptarmica,Achillea ptarmica,Achillea ptarmica,0
118,ACHIROS,FALSE,Achillea roseoalba,Achillea roseoalba,Achillea roseoalba,0
119,ACHISET,FALSE,Achillea setacea,Achillea setacea,Achillea setacea,0
122,ACHI-SP,FALSE,Achillea species,Achillea species,Achillea millefolium agg.,0
120,ACHISTR,FALSE,Achillea stricta,Achillea stricta,Achillea stricta,0
121,ACHITOM,FALSE,Achillea tomentosa,Achillea tomentosa,Achillea tomentosa,0
123,ACHNCAL,FALSE,Achnatherum calamagrostis,Achnatherum calamagrostis,Achnatherum calamagrostis,0
124,ACHN-SP,FALSE,Achnatherum species,Achnatherum species,Achnatherum species,0
127,ACINA-A,FALSE,Acinos arvensis ssp. arvensis,Acinos arvensis subsp. arvensis,Acinos arvensis subsp. arvensis,0
125,ACINALP,FALSE,Acinos alpinus,Acinos alpinus,Acinos alpinus,0
126,ACINARV,FALSE,Acinos arvensis,Acinos arvensis,Acinos arvensis,0
128,ACINA-V,FALSE,Acinos arvensis ssp. villosus,Acinos arvensis subsp. eglandulosus,Acinos arvensis subsp. eglandulosus,0
129,ACIN-SP,FALSE,Acinos species,Acinos species,Acinos species,0
137,ACON#NA,FALSE,Aconitum napellus agg.,Aconitum napellus agg.,Aconitum plicatum,0
144,ACON#VA,FALSE,Aconitum variegatum agg.,Aconitum variegatum,Aconitum variegatum,0
13022,ACON*CA,FALSE,Aconitum x cammarum,Aconitum x cammarum,Aconitum x cammarum,0
13023,ACON*EX,FALSE,Aconitum x exaltatum (A. plicatum x variegatum),Aconitum x exaltatum,Aconitum x exaltatum,0
130,ACONANT,FALSE,Aconitum anthora,Aconitum anthora,Aconitum anthora,0
131,ACONDEG,FALSE,Aconitum degenii,Aconitum degenii,Aconitum degenii,0
132,ACOND-P,FALSE,Aconitum degenii ssp. paniculatum,Aconitum degenii ssp. paniculatum,Aconitum degenii ssp. paniculatum,0
13021,ACONF*V,FALSE,Aconitum firmum ssp. moravicum x variegatum,Aconitum x berdaui nothosubsp. walasii,Aconitum x berdaui nothosubsp. walasii,0
148,ACONLAS,FALSE,Aconitum lasiocarpum,Aconitum lasiocarpum,Aconitum lasiocarpum,0
134,ACONL-M,FALSE,Aconitum lycoctonum ssp. moldavicum,Aconitum lycoctonum ssp. moldavicum,Aconitum lycoctonum ssp. moldavicum,0
135,ACONL-R,FALSE,Aconitum lycoctonum ssp. ranunculifolium,Aconitum lycoctonum ssp. ranunculifolium,Aconitum lycoctonum ssp. ranunculifolium,0
136,ACONL-V,FALSE,Aconitum lycoctonum ssp. vulparia,Aconitum lycoctonum subsp. lycoctonum,Aconitum lycoctonum subsp. lycoctonum,0
133,ACONLYC,FALSE,Aconitum lycoctonum,Aconitum lycoctonum,Aconitum lycoctonum,0
138,ACONNAP,FALSE,Aconitum napellus,Aconitum napellus agg.,Aconitum plicatum,0
139,ACONN-F,FALSE,Aconitum napellus ssp. formosum,Aconitum napellus ssp. formosum,Aconitum napellus ssp. formosum,0
152,ACONN-H,FALSE,Aconitu napellu ssp. hians sensu orig.,Aconitum plicatum,Aconitum plicatum,0
50045,ACONN-H,TRUE,Aconitum callibotryon,Aconitum plicatum,Aconitum plicatum,0
50092,ACONN-H,TRUE,Aconitum plicatum,Aconitum plicatum,Aconitum plicatum,0
149,ACONN-I,FALSE,"Aconitum napellus ssp. firmum ""firmum""",Aconitum firmum subsp. moravicum,Aconitum firmum subsp. moravicum,0
151,ACONN-M,FALSE,Aconitum napellus ssp. firmum s.lat.,Aconitum firmum subsp. moravicum,Aconitum firmum subsp. moravicum,0
140,ACONN-N,FALSE,Aconitum napellus ssp. neomontanum,Aconitum napellus ssp. neomontanum,Aconitum napellus ssp. neomontanum,0
150,ACONN-R,FALSE,"Aconitum napellus ssp. firmum ""moravicum""",Aconitum firmum subsp. moravicum,Aconitum firmum subsp. moravicum,0
141,ACONN-V,FALSE,Aconitum napellus ssp. vulgare,Aconitum napellus ssp. vulgare,Aconitum napellus ssp. vulgare,0
142,ACONPIL,FALSE,Aconitum pilipes,Aconitum pilipes,Aconitum pilipes,0
153,ACON-SP,FALSE,Aconitum species,Aconitum species,Aconitum species,0
143,ACONTAU,FALSE,Aconitum tauricum,Aconitum tauricum,Aconitum tauricum,0
145,ACONVAR,FALSE,Aconitum variegatum,Aconitum variegatum,Aconitum variegatum,0
146,ACONV-N,FALSE,Aconitum variegatum ssp. nasutum,Aconitum variegatum ssp. nasutum,Aconitum variegatum ssp. nasutum,0
147,ACONV-V,FALSE,Aconitum variegatum ssp. variegatum,Aconitum variegatum,Aconitum variegatum,0
154,ACORCAL,FALSE,Acorus calamus,Acorus calamus,Acorus calamus,0
155,ACOR-SP,FALSE,Acorus species,Acorus species,Acorus species,0
165,ACRPREP,FALSE,Acroptilon repens,Rhaponticum repens,Rhaponticum repens,0
166,ACRP-SP,FALSE,Acroptilon species,Rhaponticum species,Rhaponticum species,0
168,ACTA-SP,FALSE,Actaea species,Actaea species,Actaea species,0
167,ACTASPI,FALSE,Actaea spicata,Actaea spicata,Actaea spicata,0
13024,ACTIDEL,FALSE,Actinidia deliciosa,Actinidia deliciosa,Actinidia deliciosa,0
177,ADENLIL,FALSE,Adenophora liliifolia,Adenophora liliifolia,Adenophora liliifolia,0
178,ADEN-SP,FALSE,Adenophora species,Adenophora species,Adenophora species,0
179,ADESALL,FALSE,Adenostyles alliariae,Adenostyles alliariae,Adenostyles alliariae,0
180,ADESGLA,FALSE,Adenostyles glabra,Adenostyles glabra,Adenostyles glabra,0
181,ADESLEU,FALSE,Adenostyles leucophylla,Adenostyles leucophylla,Adenostyles leucophylla,0
182,ADES-SP,FALSE,Adenostyles species,Adenostyles species,Adenostyles species,0
183,ADONAES,FALSE,Adonis aestivalis,Adonis aestivalis,Adonis aestivalis,0
184,ADONANN,FALSE,Adonis annua,Adonis annua,Adonis annua,0
185,ADONFLA,FALSE,Adonis flammea,Adonis flammea,Adonis flammea,0
187,ADON-SP,FALSE,Adonis species,Adonis species,Adonis species,0
186,ADONVER,FALSE,Adonis vernalis,Adonis vernalis,Adonis vernalis,0
188,ADOXMOS,FALSE,Adoxa moschatellina,Adoxa moschatellina,Adoxa moschatellina,0
189,ADOX-SP,FALSE,Adoxa species,Adoxa species,Adoxa species,0
190,AEGICYL,FALSE,Aegilops cylindrica,Aegilops cylindrica,Aegilops cylindrica,0
191,AEGIGEN,FALSE,Aegilops geniculata,Aegilops geniculata,Aegilops geniculata,0
192,AEGI-SP,FALSE,Aegilops species,Aegilops species,Aegilops species,0
193,AEGOPOD,FALSE,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,0
194,AEGO-SP,FALSE,Aegopodium species,Aegopodium species,Aegopodium species,0
13027,AESC*CA,FALSE,Aesculus x carnea (A. hippocastanum x pavia),Aesculus x carnea,Aesculus x carnea,0
195,AESCHIP,FALSE,Aesculus hippocastanum,Aesculus hippocastanum,Aesculus hippocastanum,0
13025,AESCOCT,FALSE,Aesculus octandra,Aesculus flava,Aesculus flava,0
13026,AESCPAV,FALSE,Aesculus pavia,Aesculus pavia,Aesculus pavia,0
196,AESC-SP,FALSE,Aesculus species,Aesculus species,Aesculus species,0
197,AETHSAX,FALSE,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,0
198,AETH-SP,FALSE,Aethionema species,Aethionema species,Aethionema species,0
200,AETUC-A,FALSE,Aethusa cynapium ssp. agrestis,Aethusa cynapium,Aethusa cynapium s.lat.,0
201,AETUC-C,FALSE,Aethusa cynapium ssp. cynapioides,Aethusa cynapioides,Aethusa cynapium s.lat.,0
202,AETUC-Y,FALSE,Aethusa cynapium ssp. cynapium,Aethusa cynapium,Aethusa cynapium s.lat.,0
199,AETUCYN,FALSE,Aethusa cynapium,Aethusa cynapium agg.,Aethusa cynapium agg.,0
203,AETU-SP,FALSE,Aethusa species,Aethusa species,Aethusa species,0
206,AGEAHOU,FALSE,Ageratum houstonianum,Ageratum houstonianum,Ageratum houstonianum,0
207,AGEA-SP,FALSE,Ageratum species,Ageratum species,Ageratum species,0
204,AGERALT,FALSE,Ageratina altissima,Ageratina altissima,Ageratina altissima,0
205,AGER-SP,FALSE,Ageratina species,Ageratina species,Ageratina species,0
211,AGRIE-E,FALSE,Agrimonia eupatoria ssp. eupatoria,Agrimonia eupatoria subsp. eupatoria,Agrimonia eupatoria subsp. eupatoria,0
212,AGRIE-G,FALSE,Agrimonia eupatoria ssp. grandis,Agrimonia eupatoria ssp. grandis,Agrimonia eupatoria ssp. grandis,0
210,AGRIEUP,FALSE,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,0
214,AGRIPIL,FALSE,Agrimonia pilosa,Agrimonia pilosa,Agrimonia pilosa,0
213,AGRIPRO,FALSE,Agrimonia procera,Agrimonia procera,Agrimonia procera,0
215,AGRI-SP,FALSE,Agrimonia species,Agrimonia species,Agrimonia species,0
216,AGRODES,FALSE,Agropyron desertorum,Agropyron desertorum,Agropyron desertorum,0
217,AGROPEC,FALSE,Agropyron pectiniforme,Agropyron pectinatum,Agropyron pectinatum,0
218,AGRO-SP,FALSE,Agropyron species,Agropyron species,Agropyron species,0
220,AGRSG;L,FALSE,Agrostemma githago var. linicola,Agrostemma githago var. linicola,Agrostemma githago var. linicola,0
219,AGRSGIT,FALSE,Agrostemma githago,Agrostemma githago,Agrostemma githago,0
221,AGRS-SP,FALSE,Agrostemma species,Agrostemma species,Agrostemma species,0
223,AGRT#AL,FALSE,Agrostis alpina agg.,Agrostis alpina agg.,Agrostis alpina agg.,0
225,AGRT#CA,FALSE,Agrostis canina agg.,Agrostis canina agg.,Agrostis canina agg.,0
233,AGRT#ST,FALSE,Agrostis stolonifera agg.,Agrostis stolonifera agg.,Agrostis stolonifera agg.,0
13031,AGRT*CA,FALSE,Agrostis x castriferrei (A. canina x stolonifera),Agrostis canina agg.,Agrostis canina agg.,0
13032,AGRT*ME,FALSE,Agrostis x mercieri (A. canina x capillaris),Agrostis x mercieri (A. canina x capillaris),Agrostis x mercieri (A. canina x capillaris),0
13033,AGRT*MU,FALSE,Agrostis x murbeckii (A. capillaris x stolonifera),Agrostis x murbeckii,Agrostis x murbeckii,0
222,AGRTAGR,FALSE,Agrostis agrostiflora,Agrostis agrostiflora,Agrostis agrostiflora,0
224,AGRTALP,FALSE,Agrostis alpina,Agrostis alpina,Agrostis alpina,0
13028,AGRTC*V,FALSE,Agrostis capillaris x vinealis,Agrostis capillaris x A. vinealis,Agrostis capillaris x A. vinealis,0
226,AGRTCAN,FALSE,Agrostis canina,Agrostis canina,Agrostis canina,0
227,AGRTCAP,FALSE,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,0
228,AGRTCAS,FALSE,Agrostis castellana,Agrostis castellana,Agrostis castellana,0
13029,AGRTG*S,FALSE,Agrostis gigantea x stolonifera,Agrostis gigantea x stolonifera,Agrostis gigantea x stolonifera,0
229,AGRTGIG,FALSE,Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,0
230,AGRTHYE,FALSE,Agrostis hyemalis,Agrostis hyemalis,Agrostis hyemalis,0
236,AGRTNEB,FALSE,Agrostis nebulosa,Agrostis nebulosa,Agrostis nebulosa,0
231,AGRTRUP,FALSE,Agrostis rupestris,Agrostis rupestris,Agrostis rupestris,0
13030,AGRTS*V,FALSE,Agrostis stolonifera x vinealis,Agrostis stolonifera x vinealis,Agrostis stolonifera x vinealis,0
232,AGRTSCH,FALSE,Agrostis schleicheri,Agrostis schleicheri,Agrostis schleicheri,0
237,AGRT-SP,FALSE,Agrostis species,Agrostis species,Agrostis species,0
234,AGRTSTO,FALSE,Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera,0
235,AGRTVIN,FALSE,Agrostis vinealis,Agrostis vinealis,Agrostis vinealis,0
240,AILAALT,FALSE,Ailanthus altissima,Ailanthus altissima,Ailanthus altissima,0
241,AILA-SP,FALSE,Ailanthus species,Ailanthus species,Ailanthus species,0
242,AIRACAR,FALSE,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,0
243,AIRAELE,FALSE,Aira elegantissima,Aira elegantissima,Aira elegantissima,0
50046,AIRAELE,TRUE,Aira elegans,Aira elegans,Aira elegans,0
244,AIRAPRA,FALSE,Aira praecox,Aira praecox,Aira praecox,0
245,AIRA-SP,FALSE,Aira species,Aira species,Aira species,0
13040,AJUG*AD,FALSE,Ajuga x adulterina (A. genevensis x pyramidalis),Ajuga x adulterina,Ajuga x adulterina,0
13041,AJUG*HA,FALSE,Ajuga x hampeana (A. pyramidalis x reptans),Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,0
13042,AJUG*HY,FALSE,Ajuga x hybrida (A. genevensis x reptans),Ajuga x hybrida,Ajuga x hybrida,0
246,AJUGCHA,FALSE,Ajuga chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,0
247,AJUGGEN,FALSE,Ajuga genevensis,Ajuga genevensis,Ajuga genevensis,0
13039,AJUGGLA,FALSE,Ajuga glabra,Ajuga chamaepitys subsp. chia,Ajuga chamaepitys subsp. chia,0
12252,AJUGLAX,FALSE,Ajuga laxmannii,Ajuga laxmannii,Ajuga laxmannii,0
248,AJUGPYR,FALSE,Ajuga pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis,0
249,AJUGREP,FALSE,Ajuga reptans,Ajuga reptans,Ajuga reptans,0
250,AJUG-SP,FALSE,Ajuga species,Ajuga species,Ajuga species,0
251,ALCEBIE,FALSE,Alcea biennis,Alcea biennis,Alcea biennis,0
252,ALCEROS,FALSE,Alcea rosea,Alcea rosea,Alcea rosea,0
13043,ALCERUG,FALSE,Alcea rugosa,Alcea rugosa,Alcea rugosa,0
253,ALCE-SP,FALSE,Alcea species,Alcea species,Alcea species,0
258,ALCH#AL,FALSE,Alchemilla alpina agg.,Alchemilla alpina agg.,Alchemilla alpina agg.,0
268,ALCH#CO,FALSE,Alchemilla conjuncta agg.,Alchemilla conjuncta agg.,Alchemilla conjuncta agg.,0
285,ALCH#FI,FALSE,Alchemilla fissa agg.,Alchemilla fissa agg.,Alchemilla fissa agg.,0
298,ALCH#HY,FALSE,Alchemilla hybrida agg.,Alchemilla hybrida s.lat.*,Alchemilla vulgaris s.lat.,0
333,ALCH#SP,FALSE,Alchemilla splendens agg.,Alchemilla splendens agg.,Alchemilla splendens agg.,0
349,ALCH#VU,FALSE,Alchemilla vulgaris agg.,Alchemilla vulgaris s.lat.*,Alchemilla vulgaris s.lat.,0
353,ALCHACO,FALSE,Alchemilla acrostegia,Alchemilla acrostegia,Alchemilla acrostegia,0
254,ALCHACR,FALSE,Alchemilla acrodon,Alchemilla acrodon,Alchemilla acrodon,0
255,ALCHACU,FALSE,Alchemilla acutata,Alchemilla acutata,Alchemilla acutata,0
354,ALCHAEQ,FALSE,Alchemilla aequidens,Alchemilla aequidens,Alchemilla aequidens,0
256,ALCHAGG,FALSE,Alchemilla aggregata,Alchemilla aggregata,Alchemilla aggregata,0
259,ALCHALI,FALSE,Alchemilla alpina,Alchemilla alpina,Alchemilla alpina,0
257,ALCHALP,FALSE,Alchemilla alpigena,Alchemilla alpigena,Alchemilla alpigena,0
355,ALCHAMA,FALSE,Alchemilla amauroptera,Alchemilla amauroptera,Alchemilla amauroptera,0
356,ALCHAMB,FALSE,Alchemilla amblyodes,Alchemilla amblyodes,Alchemilla amblyodes,0
357,ALCHAMI,FALSE,Alchemilla amicorum,Alchemilla amicorum,Alchemilla amicorum,0
12253,ALCHANC,FALSE,Alchemilla anceps,Alchemilla anceps,Alchemilla anceps,0
260,ALCHANI,FALSE,Alchemilla anisiaca,Alchemilla anisiaca,Alchemilla anisiaca,0
358,ALCHANM,FALSE,Alchemilla animosa,Alchemilla animosa,Alchemilla animosa,0
261,ALCHANT,FALSE,Alchemilla antiropata,Alchemilla antiropata,Alchemilla antiropata,0
359,ALCHASP,FALSE,Alchemilla aspera,Alchemilla aspera,Alchemilla aspera,0
262,ALCHATR,FALSE,Alchemilla atrovirens,Alchemilla atrovirens,Alchemilla atrovirens,0
360,ALCHBAB,FALSE,Alchemilla babiogorensis,Alchemilla babiogorensis,Alchemilla babiogorensis,0
263,ALCHBAL,FALSE,Alchemilla baltica,Alchemilla baltica,Alchemilla vulgaris s.lat.,0
361,ALCHBOG,FALSE,Alchemilla bogumilii,Alchemilla bogumilii,Alchemilla bogumilii,0
362,ALCHBOL,FALSE,Alchemilla boleslai,Alchemilla boleslai,Alchemilla boleslai,0
363,ALCHBRA,FALSE,Alchemilla brachycodon,Alchemilla brachycodon,Alchemilla brachycodon,0
264,ALCHCAT,FALSE,Alchemilla cataractarum,Alchemilla cataractarum,Alchemilla cataractarum,0
364,ALCHCHI,FALSE,Alchemilla chilitricha,Alchemilla chilitricha,Alchemilla chilitricha,0
265,ALCHCIN,FALSE,Alchemilla cinerea,Alchemilla cinerea,Alchemilla cinerea,0
271,ALCHCOI,FALSE,Alchemilla coriacea,Alchemilla coriacea,Alchemilla coriacea,0
13044,ALCHCOJ,FALSE,Alchemilla conjuncta,Alchemilla conjuncta,Alchemilla conjuncta,0
266,ALCHCOL,FALSE,Alchemilla colorata,Alchemilla colorata,Alchemilla colorata,0
267,ALCHCOM,FALSE,Alchemilla compta,Alchemilla compta,Alchemilla compta,0
269,ALCHCON,FALSE,Alchemilla connivens,Alchemilla connivens,Alchemilla connivens,0
365,ALCHCOO,FALSE,Alchemilla colorata auct. carpat.,Alchemilla colorata auct. carpat.,Alchemilla colorata auct. carpat.,0
270,ALCHCOR,FALSE,Alchemilla corcontica,Alchemilla corcontica,Alchemilla corcontica,0
366,ALCHCOT,FALSE,Alchemilla contractilis,Alchemilla contractilis,Alchemilla contractilis,0
272,ALCHCRA,FALSE,Alchemilla crassa,Alchemilla crassa,Alchemilla crassa,0
273,ALCHCRI,FALSE,Alchemilla crinita,Alchemilla crinita,Alchemilla vulgaris s.lat.,0
367,ALCHCUI,FALSE,Alchemilla curtischista,Alchemilla curtischista,Alchemilla curtischista,0
274,ALCHCUR,FALSE,Alchemilla curta,Alchemilla curta,Alchemilla curta,0
276,ALCHCUS,FALSE,Alchemilla cuspidens,Alchemilla cuspidens,Alchemilla cuspidens,0
275,ALCHCUT,FALSE,Alchemilla curtiloba,Alchemilla curtiloba,Alchemilla curtiloba,0
277,ALCHCYM,FALSE,Alchemilla cymatophylla,Alchemilla cymatophylla,Alchemilla vulgaris s.lat.,0
278,ALCHDEC,FALSE,Alchemilla decumbens,Alchemilla decumbens,Alchemilla decumbens,0
369,ALCHDEL,FALSE,Alchemilla delitescens,Alchemilla delitescens,Alchemilla delitescens,0
368,ALCHDEU,FALSE,Alchemilla decurrens,Alchemilla decurrens,Alchemilla decurrens,0
12254,ALCHDOS,FALSE,Alchemilla dostalii,Alchemilla dostalii,Alchemilla dostalii,0
370,ALCHECH,FALSE,Alchemilla echinogloba,Alchemilla echinogloba,Alchemilla echinogloba,0
279,ALCHEFF,FALSE,Alchemilla effusa,Alchemilla effusa,Alchemilla effusa,0
371,ALCHERY,FALSE,Alchemilla erythropoda,Alchemilla erythropoda,Alchemilla erythropoda,0
372,ALCHEUG,FALSE,Alchemilla eugenii,Alchemilla eugenii,Alchemilla eugenii,0
373,ALCHEXA,FALSE,Alchemilla exaperta,Alchemilla exaperta,Alchemilla exaperta,0
280,ALCHEXI,FALSE,Alchemilla exigua,Alchemilla exigua,Alchemilla exigua,0
281,ALCHFAL,FALSE,Alchemilla fallax,Alchemilla fallax,Alchemilla fallax,0
283,ALCHF-F,FALSE,Alchemilla filicaulis ssp. filicaulis,Alchemilla filicaulis subsp. filicaulis,Alchemilla filicaulis subsp. filicaulis,0
282,ALCHFIL,FALSE,Alchemilla filicaulis,Alchemilla filicaulis,Alchemilla vulgaris s.lat.,0
286,ALCHFIS,FALSE,Alchemilla fissa,Alchemilla fissa,Alchemilla vulgaris s.lat.,0
287,ALCHFLA,FALSE,Alchemilla flabellata,Alchemilla flabellata,Alchemilla vulgaris s.lat.,0
288,ALCHFLC,FALSE,Alchemilla flaccida,Alchemilla flaccida,Alchemilla flaccida,0
374,ALCHFUS,FALSE,Alchemilla fusoidea,Alchemilla fusoidea,Alchemilla fusoidea,0
284,ALCHF-V,FALSE,Alchemilla filicaulis ssp. vestita,Alchemilla filicaulis subsp. vestita,Alchemilla filicaulis subsp. vestita,0
375,ALCHGIE,FALSE,Alchemilla giewontica,Alchemilla giewontica,Alchemilla giewontica,0
289,ALCHGLA,FALSE,Alchemilla glabra,Alchemilla glabra,Alchemilla vulgaris s.lat.,0
290,ALCHGLC,FALSE,Alchemilla glacialis,Alchemilla glacialis,Alchemilla glacialis,0
292,ALCHGLO,FALSE,Alchemilla glomerulans,Alchemilla glomerulans,Alchemilla glomerulans,0
291,ALCHGLU,FALSE,Alchemilla glaucescens,Alchemilla glaucescens,Alchemilla glaucescens,0
